typeOfEntity	authorizedFormOfName	datesOfExistence	history	blank
Corporate body	Technology Entrepreneur and Company Development Edmonton	2004 -	A technology transfer office was formed in 1994 and called the Industry Liaison Office (ILO). This office was a unit of the University and had two main components: the Technology Transfer group (for protecting IP and licensing inventions) and the Contracts group (for finalizing the contracts between researchers and grant awarding organizations, and other agreements).    In 2002, the ILO begun an amalgamation with two other University units to create the Research Services Office (RSO). This move united the Contracts team (of the ILO) with the Research Grants Office and parts of the University's Financial Services.     In 2004, the RSO commenced the present phase to 'spin out' the Technology Transfer Program and re-establishes a distinct storefront for their activities. At the same time, the Company Development program was enhanced (now called JumpStart) to assist University spinoff companies growth. These two units moved into the Research Transition Facility to be closer to the spinoff companies they helped create and nurture.    TEC Edmonton was formed in 2004 as a joint venture between the University of Alberta and Edmonton Economic Development Corporation (EEDC). The move amalgamated two main University units (the Technology Transfer Program and the Spinoff Company Development Program) with two initiatives launched by EEDC (Deal Generator and the VenturePrize Business Plan Competition). This new joint venture was ratified by Edmonton City Council and the University's Board of Governors in 2006.	
Corporate body	Tegler Foundation			
Corporate body	Television Services			
Person	Teskey, John			
Person	Teviotdale, Agnes K.			
Person	Tewari, Jalpa P.			
Corporate body	The Acting Gypsies			
Corporate body	The Antenna			
Corporate body	The Art Ensemble of Calgary			
Corporate body	The Catholic Archdiocese of Edmonton			
Corporate body	The Dreamland Picture Company			
Corporate body	The Gateway	1910 -	The Gateway is the independent student newspaper for the students at the University of Alberta.     The Gateway publishes opinions, local, national, some international articles that have an impact on University of Alberta students. Sections include news, opinion, sports, arts and entertainment, comics, and features.    The newspaper founded in 1910 was run as a department of the Students’ Union until 2002. After a student referendum, The Gateway became an independent newspaper published by the Gateway Student Journalism Society.     In 2004, the newspaper created an online searchable archive of over 50,000 pages of The Gateway stretching back to 1910 (http://repository.library.ualberta.ca/newspapers/GAT/).	
Corporate body	The Gateway - Student's Union			
Corporate body	The Grind			
Corporate body	The High Hope Operators			
Corporate body	The Literary Magazine			
Corporate body	The M&M Company			
Corporate body	The Manitoba Historical Society			
Corporate body	The Mummers and the Paupers			
Corporate body	The Provincial Fitness Unit of Alberta	1982 -	The Fitness Unit, which is administered by the department of Physical education and Sports Studies, provides nutrition, fitness appraisals, and counseling to the University and the community. in conjunction with the provincial Department of Recreation and Parks, it administers the Provincial Fitness Resource Cant re which aims to educate Albertans on the importance of a healthy lifestyle . In addition to serving as a graduate studies and research Centre , it manages to certification programs, the Alberta Fitness Leadership Certification Program (AFLCA) and the Alberta fitness Appraisal Certification and Accreditation Program (CASS-FACA) to ensure that fitness leaders and appraisers are properly trained (PACCR, 1987).	
Corporate body	The Soap Company			
Corporate body	theater simple			
Corporate body	Theatre Alberta			
Corporate body	Theatre Network			
Corporate body	Theatre Passe Muraille			
Corporate body	Theatre Three			
Person	Theobald, Dennis			
Person	Thiessen, J. Grant	1947 -		
Person	Thomas, David Edward			
Person	Thomas, Lewis Gwynne	1914 - 9.22.2001	Lewis Gwynne Thomas entered the University of Alberta in 1930, earning two degrees. He joined the University in 1938 as a sessional lecturer in history. He served as secretary of the Faculty of Arts from 1946-1951 and in 1958 was appointed professor and head of the Department of History. He retired from the chair in 1964 and from the University as Professor Emeritus in 1974. Dr. Thomas introduced the first course in western Canadian history to the University of Alberta in 1949/50, and he shared his interest in western Canadian history through his many publications and his participation in historical associations. Dr. Thomas passed away in Edmonton in 2001.	
Person	Thomas, Lewis Herbert	4.13.1917 - 11.17.1982	"Lewis Herbert Thomas was born April 13, 1917, in Saskatoon, Saskatchewan. The son of Reverend Robert and Margaret Thomas, he received his elementary education in Nova Scotia, and took his high school at Nutana Collegiate, Saskatoon. He entered the University of Saskatchewan and graduated in 1940 with high honors in history and economics (BA). In 1941, he completed his MA thesis, ""Constitutional Development of the North-West Territories, 1870-1888"".     In 1946, he married Margaret E. Telford, and they had two children, Jean and Robert.    Following a period of research employment in the Department of History, University of Saskatchewan, he was appointed in 1946 Assistant Provincial Archivist for the Province of Saskatchewan. During this time he also lectured in history at Regina College. In 1948, he was appointed Provincial Archivist of Saskatchewan, a position which he held until 1957. His work with the Saskatchewan Archives Board involved drafting the first archival legislation for the Province of Saskatchewan, and establishing the policies and procedures governing the two provincial archives offices in Regina and Saskatoon. It was in this period of time that Dr. Thomas completed his doctoral studies under Professor A.L. Burt at the University of Minnesota (1953). His thesis was later published as The Struggle for Responsible Government in the North-West Territories, 1870-97, and became a classic reference for this period of government development in Western Canada.     Between 1957 and 1964 Dr. Thomas served as Associate Professor of History at the Regina campus. His history, The University of Saskatchewan, 1909-1959, was complemented by a number of articles related to archival development in Canada; exploration; and Saskatchewan history.     In 1964, Dr. Thomas joined the Department of History at the University of Alberta in Edmonton. Recognized as Professor of History in 1965, he also became departmental chairman, 1965-1968. In 1975, his The Renaissance of Canadian History: A biography of A.L. Burt was published.     During his career, Dr. Thomas contributed six scholarly books, and numerous articles to the understanding of Canada's past. As editor of Saskatchewan History, 1949-1957, he established an outstanding journal of regional history. In 1968 he was appointed to a three-year term as Alberta's representative on the National Historic Sites and Monuments Board of Canada. This appointment was renewed for five years in 1971. His leadership in the profession and in linking the world of scholarship to the Canadian public was recognized on many occasions.     In 1972, the University of Saskatchewan awarded Dr. Thomas an honorary doctorate of laws, which was followed by the American Association for State and Local History's Award of Merit. In 1975, he received, ""for outstanding contribution to Alberta history"", the award of the Historical Society of Alberta. During the Learned Societies Conference in Saskatoon, June 1979, the Saskatchewan Archives Board honored Dr. Thomas at a special dinner. Following the dinner, the Canadian Historical Association made him an honorary life member. In 1982, Dr. Thomas was also awarded honorary life membership in the Archives Society of Alberta, and in October of 1982, he received the Order of Canada.     Upon his retirement from the University of Alberta in 1982, Dr. Thomas donated his papers to the University's archives. Post-retirement activity saw Dr. Thomas research and prepare for publication, studies on socialism in Western Canada. A book about William Aberhart and Social Credit in Alberta was published in 1977, and his last completed project was editing tape transcripts resulting in the publishing of: The Making of a Socialist, The Recollections of T.C. Douglas in 1982. Dr. and Mrs., Thomas retired to Regina, Saskatchewan, and Dr. Thomas died there on November 17, 1982."	
Person	Thomas, Margaret			
Person	Thompson, Edmund Jabez			
